TR:mock:CellLine,TR:nh4e,TR:2ippm,TR:leuLe,TR:lysLe,TR:L2aadp6sa,TR:4abute,TR:atp,TR:25aics,TR:purinesep,TR:aminoacidep,TR:asnL,TR:pro,TR:gln,TR:ala,TR:arg,TR:asp,TR:glu,TR:ile,TR:met,TR:ser,TR:thr,TR:trp,TR:tyr,TR:val,DA:LEU3,DA:LYS14,DA:STP2,DA:UGA3,DA:DAL80,DA:BAS1,DA:STP1,DA:UGA1,DA:UGA2,DA:UGA4,DA:GCN4,DV:LEU3,DV:LYS14,DV:STP2,DV:UGA3,DV:DAL80,DV:BAS1,DV:STP1,DV:UGA1,DV:UGA2,DV:UGA4,DV:GCN4
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0.494065876,0.405177385,NA,0.481011337,0.204224364,NA,NA,0.051129522,0.046420482,0.043342277,0.473031755
1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0.621903304,0.484639167,NA,0.500440629,0.439478668,NA,NA,1,1,1,0.619601443
1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0.154053016,0.684202457,NA,0.855213159,0.547077768,NA,NA,0.086141206,0.064668301,0.077208785,0.703009923
1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0.452662074,0.345486971,NA,0.492896233,0.095866418,NA,NA,0.061845851,0.055294893,NA,0.465207784
1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0.598633075,0.409242081,NA,0.422836244,0.027334108,NA,NA,0.055140625,NA,NA,0.40091537
1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0.54950192,0.551616124,NA,0.647106681,0.73957299,NA,NA,0.066643584,0.053913922,0.045196514,0.728939414
1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0.561322421,0.41529526,NA,0.542376137,0.215808599,NA,NA,0.073952604,0.04969377,NA,0.638529908
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0.404967716,0.271575739,NA,NA,0.498581335,NA,NA,0.060228082,0.058790854,0.043736677,0.544259221
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0.580331943,0.385037369,NA,0.529567311,0.337453954,NA,NA,0.068392857,0.050429248,NA,0.512211082
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0.528647729,0.345910539,NA,0.538677491,0.5004731,NA,NA,0.066042073,0.057129458,0.043606301,0.495760628
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0.613085871,0.692489129,NA,0.598370068,0.783186211,NA,NA,0.161451999,0.09031893,NA,0.677238075
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,1,0.685945278,NA,1,0.638386119,NA,NA,NA,0.083373572,0.06649163,0.887273628
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0.559390792,0.446350528,NA,NA,0.108838994,NA,NA,0.052714049,NA,0.042743735,0.615603817
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,10,10,10,10,10,10,10,10,10,10,NA,0.625108339,NA,0.823416687,0.614192239,NA,NA,0.196237719,0.110990233,0.091060806,0.956510895
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,10,10,10,10,10,10,10,10,10,10,0.545191534,1,NA,0.737154088,0.848287058,NA,NA,0.15527856,0.113778906,NA,0.926518857
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,10,10,10,10,10,10,10,10,10,NA,0.707126197,NA,NA,1,NA,NA,0.145861937,0.108771269,NA,1
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,10,10,10,10,10,0.565446519,0.556838037,NA,0.552965371,0.60779566,NA,NA,0.077281884,0.062504668,0.083200032,0.647787038
